"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","619","API. Авторизованный пользователь не может пополнить счет невалидной суммой Сумма пополнения меньше минимальной","","2026-08-08","passed","2026-08-08","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","171","API. Администратор не может создать пользователя с невалидными данными Username короче 3 символов","","2026-08-08","passed","2026-08-08","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1341","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода равна 0","","2026-08-08","passed","2026-08-08","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","369","API. Неавторизованный пользователь не может получить список пользователей","","2026-08-08","passed","2026-08-08","","API. Получение списка пользователей","api.iteration_3.GetAllUsersTest","unauthorizedUserCannotGetUsersListTest"
"","446","API. Авторизованный пользователь с правами администратора может получить список пользователей","","2026-08-08","passed","2026-08-08","","API. Получение списка пользователей","api.iteration_3.GetAllUsersTest","authorizedUserWithAdminPermissionsCanGetUsersListTest"
"","15","API. Пользователь не может авторизоваться с невалидными данными Password без цифры","","2026-08-08","passed","2026-08-08","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","790","API. Пользователь без прав администратора не может удалить пользователя","","2026-08-08","passed","2026-08-08","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","userWithoutAdminPermissionsCannotDeleteUserTest"
"","13","API. Пользователь не может авторизоваться с невалидными данными Username содержит пробел","","2026-08-08","passed","2026-08-08","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","2956","UI. Пользователь не может пополнить свой счет без указания суммы","","2026-08-08","passed","2026-08-08","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAmountTest"
"","172","API. Администратор не может создать пользователя с невалидными данными Password без заглавной буквы","","2026-08-08","passed","2026-08-08","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","97","API. Администратор не может получить профиль","","2026-08-08","passed","2026-08-08","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","adminCannotGetProfileTest"
"","742","API. Авторизованный пользователь может получить список транзакций по своему счету","","2026-08-08","passed","2026-08-08","","API. Получение списка транзакций по счету","api.iteration_3.GetAccountTransactionsTest","authorizedUserCanGetOwnAccountTransactionsTest"
"","3368","UI. Пользователь не может пополнить свой счет с невалидной суммой Сумма пополнения больше максимальной","","2026-08-08","passed","2026-08-08","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","12","API. Пользователь не может авторизоваться с невалидными данными Password без спецсимвола","","2026-08-08","passed","2026-08-08","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
