"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","API. Неавторизованный пользователь не может создать пользователя","","2026-08-27","passed","2026-08-27","","API. Создание пользователя","api.iteration_1.CreateUserTest","unauthorizedUserCannotCreateUserTest"
"","544","API. Авторизованный пользователь без прав администратора не может получить список пользователей","","2026-08-27","passed","2026-08-27","","API. Получение списка пользователей","api.iteration_3.GetAllUsersTest","authorizedUserWithoutAdminPermissionsCannotGetUsersListTest"
"","1459","API. Авторизованный пользователь не может выполнить перевод при ошибке фрод-сервиса (HTTP 400)","","2026-08-27","passed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceReturnsBadRequestTest"
"","224","API. Администратор не может создать пользователя с невалидными данными Password содержит пробел","","2026-08-27","passed","2026-08-27","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","4724","UI. Пользователь не может выполнить перевод без указания счета получателя","","2026-08-27","passed","2026-08-27","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutReceiverAccountNumberTest"
"","1388","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода больше максимальной","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","21","API. Пользователь не может авторизоваться с невалидными данными Пустой username","","2026-08-27","passed","2026-08-27","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","312","API. Администратор не может создать пользователя с невалидными данными Пустой username","","2026-08-27","passed","2026-08-27","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1872","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 10000.0","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","1702","API. Авторизованный пользователь не может перевести сумму превышающую баланс на счет другого пользователя","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferAmountExceedingAccountBalanceTest"
"","509","API. Авторизованный пользователь может получить свой профиль","","2026-08-27","passed","2026-08-27","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","authorizedUserCanGetProfileTest"
