"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3614","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-08-27","passed","2026-08-27","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","92","API. Администратор не может получить профиль","","2026-08-27","passed","2026-08-27","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","adminCannotGetProfileTest"
"","1329","API. Авторизованный пользователь не может выполнить перевод при превышении таймаута ответа фрод-сервиса (connection error)","","2026-08-27","passed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceTimeoutExceededTest"
"","537","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя из трех слов","","2026-08-27","passed","2026-08-27","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","2895","UI. Пользователь может создать аккаунт","","2026-08-27","passed","2026-08-27","","UI. Создание счета","ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","18","API. Пользователь не может авторизоваться с невалидными данными Password без цифры","","2026-08-27","passed","2026-08-27","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","4067","UI. Пользователь не может изменить имя в профиле на невалидное","","2026-08-27","passed","2026-08-27","","UI. Обновление профиля пользователя","ui.iteration_2.UpdateCustomerProfileTest","userCannotSetInvalidNameInProfileTest"
"","436","API. Авторизованный пользователь не может пополнить несуществующий счет","","2026-08-27","passed","2026-08-27","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositNonExistingAccountTest"
"","1647","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 9999.99","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","576","API. Авторизованный пользователь может изменить имя в профиле на валидное","","2026-08-27","passed","2026-08-27","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCanSetValidNameTest"
"","1060","API. Авторизованный пользователь не может пополнить счет другого пользователя","","2026-08-27","passed","2026-08-27","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAnotherUserAccountTest"
"","0","API. Авторизованный пользователь не может выполнить перевод при необходимости дополнительной верификации транзакции (additionalVerificationRequired=true)","","2026-08-27","skipped","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenAdditionalVerificationIsRequiredByFlagTest"
"","730","API. Пользователь без прав администратора не может создать пользователя","","2026-08-27","passed","2026-08-27","","API. Создание пользователя","api.iteration_1.CreateUserTest","userWithoutAdminPermissionsCannotCreateUserTest"
"","1672","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 10000.0","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","4353","UI. Пользователь не может выполнить перевод без указания суммы","","2026-08-27","passed","2026-08-27","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutAmountTest"
"","1572","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода меньше минимальной","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","1605","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 0.02","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","755","API. Неавторизованный пользователь не может получить список транзакций по своему счету","","2026-08-27","passed","2026-08-27","","API. Получение списка транзакций по счету","api.iteration_3.GetAccountTransactionsTest","unauthorizedUserCannotGetOwnAccountsTransactionsTest"
"","1341","API. Авторизованный пользователь не может выполнить перевод при необходимости дополнительной верификации транзакции (decision=VERIFICATION_REQUIRED)","","2026-08-27","failed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenAdditionalVerificationIsRequiredTest"
"","1306","API. Авторизованный пользователь не может выполнить перевод при пустом ответе фрод-сервиса (HTTP 200, empty response)","","2026-08-27","passed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceReturnsEmptyResponseTest"
"","1262","API. Авторизованный пользователь может перевести валидную сумму между своими счетами Сумма перевода: 10000.0","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","530","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с цифрой","","2026-08-27","passed","2026-08-27","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","1597","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 0.01","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","91","API. Администратор не может получить список счетов","","2026-08-27","passed","2026-08-27","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","adminCannotGetAccountsTest"
"","1341","API. Авторизованный пользователь не может выполнить перевод при недоступности фрод-сервиса (HTTP 503)","","2026-08-27","passed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceUnavailableTest"
"","1331","API. Авторизованный пользователь не может выполнить перевод при внутренней ошибке фрод-сервиса (HTTP 500)","","2026-08-27","passed","2026-08-27","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceReturnsInternalServerErrorTest"
"","20","API. Пользователь не может авторизоваться с невалидными данными Password без заглавной буквы","","2026-08-27","passed","2026-08-27","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","950","API. Авторизованный пользователь не может перевести валидную сумму на несуществующий счет","","2026-08-27","passed","2026-08-27","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsIntoNonExistingAccountTest"
"","392","API. Администратор может удалить пользователя Удаление пользователя без прав администратора","","2026-08-27","passed","2026-08-27","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCanDeleteUserTest"
"","19","API. Пользователь не может авторизоваться с невалидными данными Password без строчной буквы","","2026-08-27","passed","2026-08-27","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
