"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3359","UI. Пользователь не может пополнить свой счет без указания суммы","","2026-08-31","passed","2026-08-31","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAmountTest"
"","3123","UI. Пользователь может создать аккаунт","","2026-08-31","passed","2026-08-31","","UI. Создание счета","ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","1819","API. Авторизованный пользователь не может перевести валидную сумму с несуществующего счета на счет другого пользователя","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsFromNonExistingAccountTest"
"","107","API. Администратор не может создать счет","","2026-08-31","passed","2026-08-31","","API. Создание счета","api.iteration_1.CreateAccountTest","adminCannotCreateAccountTest"
"","4448","UI. Пользователь может изменить имя в профиле","","2026-08-31","passed","2026-08-31","","UI. Обновление профиля пользователя","ui.iteration_2.UpdateCustomerProfileTest","userCanSetValidNameInProfileTest"
"","1516","API. Авторизованный пользователь может выполнить перевод при одобрении транзакции фрод-сервисом (decision=APPROVED)","","2026-08-31","passed","2026-08-31","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCanTransferFundsWhenTransactionApprovedByFraudServiceTest"
"","657","API. Авторизованный пользователь может создать счет","","2026-08-31","passed","2026-08-31","","API. Создание счета","api.iteration_1.CreateAccountTest","authorizedUserCanCreateAccountTest"
"","17","API. Неавторизованный пользователь не может получить список своих счетов","","2026-08-31","passed","2026-08-31","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","unauthorizedUserCannotGetOwnAccountsTest"
"","1475","API. Авторизованный пользователь не может выполнить перевод при ошибке фрод-сервиса (HTTP 400)","","2026-08-31","passed","2026-08-31","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceReturnsBadRequestTest"
"","226","API. Администратор не может создать пользователя с невалидными данными Password без цифры","","2026-08-31","passed","2026-08-31","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1421","API. Авторизованный пользователь может перевести валидную сумму между своими счетами Сумма перевода: 0.02","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","1866","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 10000.0","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","1419","API. Авторизованный пользователь может перевести валидную сумму между своими счетами Сумма перевода: 10000.0","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","1389","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода больше максимальной","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","546","API. Неавторизованный пользователь не может создать счет","","2026-08-31","passed","2026-08-31","","API. Создание счета","api.iteration_1.CreateAccountTest","unauthorizedUserCannotCreateAccountTest"
"","521","API. Авторизованный пользователь без прав администратора не может получить список пользователей","","2026-08-31","passed","2026-08-31","","API. Получение списка пользователей","api.iteration_3.GetAllUsersTest","authorizedUserWithoutAdminPermissionsCannotGetUsersListTest"
"","794","API. Пользователь без прав администратора не может создать пользователя","","2026-08-31","passed","2026-08-31","","API. Создание пользователя","api.iteration_1.CreateUserTest","userWithoutAdminPermissionsCannotCreateUserTest"
"","1669","API. Неавторизованный пользователь не может перевести валидную сумму на счет другого пользователя","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","unauthorizedUserCannotTransferFundsTest"
"","1071","API. Авторизованный пользователь не может перевести валидную сумму на несуществующий счет","","2026-08-31","passed","2026-08-31","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsIntoNonExistingAccountTest"
"","5115","UI. Пользователь не может выполнить перевод без подтверждения данных","","2026-08-31","passed","2026-08-31","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutConfirmTest"
"","104","API. Администратор не может получить профиль","","2026-08-31","passed","2026-08-31","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","adminCannotGetProfileTest"
"","1519","API. Авторизованный пользователь не может выполнить перевод при недоступности фрод-сервиса (HTTP 503)","","2026-08-31","passed","2026-08-31","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceUnavailableTest"
"","181","API. Неавторизованный пользователь не может создать пользователя","","2026-08-31","passed","2026-08-31","","API. Создание пользователя","api.iteration_1.CreateUserTest","unauthorizedUserCannotCreateUserTest"
"","3353","UI. Пользователь не может пополнить свой счет без указания номера счета","","2026-08-31","passed","2026-08-31","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAccountNumberTest"
"","3048","UI. Пользователь может авторизоваться с валидными данными","","2026-08-31","passed","2026-08-31","","UI. Авторизация пользователя","ui.iteration_1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","110","API. Администратор не может получить список счетов","","2026-08-31","passed","2026-08-31","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","adminCannotGetAccountsTest"
"","3623","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-08-31","passed","2026-08-31","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","848","API. Неавторизованный пользователь не может получить список транзакций по своему счету","","2026-08-31","passed","2026-08-31","","API. Получение списка транзакций по счету","api.iteration_3.GetAccountTransactionsTest","unauthorizedUserCannotGetOwnAccountsTransactionsTest"
"","639","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с двумя пробелами","","2026-08-31","passed","2026-08-31","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","22","API. Пользователь не может авторизоваться с невалидными данными Password без строчной буквы","","2026-08-31","passed","2026-08-31","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
