"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4889","UI. Пользователь может выполнить перевод на счет другого пользователя","","2026-08-09","passed","2026-08-09","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCanTransferFundsToAnotherUserAccountTest"
"","659","API. Авторизованный пользователь может пополнить счет Сумма пополнения: 0.02","","2026-08-09","passed","2026-08-09","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","14","API. Пользователь не может авторизоваться с невалидными данными Username короче 3 символов","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","2610","UI. Пользователь может создать аккаунт","","2026-08-09","passed","2026-08-09","","UI. Создание счета","ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","27","API. Неавторизованный пользователь не может получить список своих счетов","","2026-08-09","passed","2026-08-09","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","unauthorizedUserCannotGetOwnAccountsTest"
"","192","API. Администратор не может создать пользователя с невалидными данными Password короче 8 символов","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","483","API. Авторизованный пользователь без прав администратора не может получить список пользователей","","2026-08-09","passed","2026-08-09","","API. Получение списка пользователей","api.iteration_3.GetAllUsersTest","authorizedUserWithoutAdminPermissionsCannotGetUsersListTest"
"","584","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с пробелом в начале","","2026-08-09","passed","2026-08-09","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","3517","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-08-09","passed","2026-08-09","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","1378","API. Авторизованный пользователь не может перевести сумму превышающую баланс на счет другого пользователя","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferAmountExceedingAccountBalanceTest"
"","1097","API. Авторизованный пользователь может перевести валидную сумму между своими счетами Сумма перевода: 10000.0","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","14","API. Пользователь не может авторизоваться с невалидными данными Username содержит спецсимвол","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","4678","UI. Пользователь не может выполнить перевод без подтверждения данных","","2026-08-09","passed","2026-08-09","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutConfirmTest"
"","21","API. Пользователь не может авторизоваться с невалидными данными Password короче 8 символов","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","1095","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода больше максимальной","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","201","API. Администратор не может создать пользователя с невалидными данными Password содержит пробел","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1057","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода равна 0","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","388","API. Администратор может удалить пользователя Удаление пользователя без прав администратора","","2026-08-09","passed","2026-08-09","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCanDeleteUserTest"
"","661","API. Авторизованный пользователь может пополнить счет Сумма пополнения: 5000.0","","2026-08-09","passed","2026-08-09","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","18","API. Пользователь не может авторизоваться с невалидными данными Password без заглавной буквы","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","663","API. Авторизованный пользователь не может пополнить счет невалидной суммой Сумма пополнения меньше минимальной","","2026-08-09","passed","2026-08-09","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","192","API. Администратор не может создать пользователя с невалидными данными Пустой password","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1449","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 0.02","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","762","API. Неавторизованный пользователь не может получить список транзакций по своему счету","","2026-08-09","passed","2026-08-09","","API. Получение списка транзакций по счету","api.iteration_3.GetAccountTransactionsTest","unauthorizedUserCannotGetOwnAccountsTransactionsTest"
"","1446","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода меньше минимальной","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","378","API. Администратор может создать пользователя с валидными данными Создание пользователя без прав администратора","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","589","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с пробелом на конце","","2026-08-09","passed","2026-08-09","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","1469","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 0.01","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","386","API. Администратор может удалить пользователя Удаление пользователя с правами администратора","","2026-08-09","passed","2026-08-09","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCanDeleteUserTest"
"","196","API. Администратор не может создать пользователя с невалидными данными Password без цифры","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","14","API. Пользователь не может авторизоваться с невалидными данными Пустой password","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","17","API. Пользователь не может авторизоваться с невалидными данными Пустой username","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","5127","UI. Пользователь не может выполнить перевод без указания суммы","","2026-08-09","passed","2026-08-09","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutAmountTest"
"","17","API. Неавторизованный пользователь не может получить свой профиль","","2026-08-09","passed","2026-08-09","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","unauthorizedUserCannotGetProfileTest"
"","1454","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода больше максимальной","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","3372","UI. Пользователь не может пополнить свой счет с невалидной суммой Сумма пополнения меньше минимальной","","2026-08-09","passed","2026-08-09","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","1078","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода меньше минимальной","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","1087","API. Авторизованный пользователь может перевести валидную сумму между своими счетами Сумма перевода: 0.01","","2026-08-09","passed","2026-08-09","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","668","API. Авторизованный пользователь может пополнить счет Сумма пополнения: 0.01","","2026-08-09","passed","2026-08-09","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","17","API. Пользователь не может авторизоваться с невалидными данными Password без цифры","","2026-08-09","passed","2026-08-09","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","2942","UI. Администратор может создать пользователя","","2026-08-09","passed","2026-08-09","","UI. Создание пользователя","ui.iteration_1.CreateUserTest","adminCanCreateUserTest"
"","585","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с цифрой","","2026-08-09","passed","2026-08-09","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","494","API. Неавторизованный пользователь не может изменить имя в профиле","","2026-08-09","passed","2026-08-09","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","unauthorizedUserCannotChangeNameTest"
"","3165","UI. Пользователь не может пополнить свой счет с невалидной суммой Сумма пополнения равна 0","","2026-08-09","passed","2026-08-09","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","3456","UI. Пользователь не может пополнить свой счет с невалидной суммой Сумма пополнения больше максимальной","","2026-08-09","passed","2026-08-09","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","7590","UI. Пользователь не может изменить имя в профиле на невалидное","","2026-08-09","passed","2026-08-09","","UI. Обновление профиля пользователя","ui.iteration_2.UpdateCustomerProfileTest","userCannotSetInvalidNameInProfileTest"
"","402","API. Неавторизованный пользователь не может удалить пользователя","","2026-08-09","passed","2026-08-09","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCannotDeleteUserWithoutAuthTest"
"","225","API. Администратор не может создать пользователя с невалидными данными Username короче 3 символов","","2026-08-09","passed","2026-08-09","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","495","API. Авторизованный пользователь может получить свой профиль","","2026-08-09","passed","2026-08-09","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","authorizedUserCanGetProfileTest"
