"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","API. Авторизованный пользователь не может выполнить перевод при блокировке транзакции фрод-сервисом (decision=BLOCKED)","","2026-09-04","passed","2026-09-04","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenTransactionBlockedByFraudServiceTest"
"","2214","UI. Администратор может авторизоваться с валидными данными","","2026-09-04","passed","2026-09-04","","UI. Авторизация пользователя","ui.iteration_1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","218","API. Администратор не может создать пользователя с невалидными данными Password без строчной буквы","","2026-09-04","passed","2026-09-04","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","99","API. Администратор может авторизоваться","","2026-09-04","passed","2026-09-04","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","14","API. Пользователь не может авторизоваться с невалидными данными Username короче 3 символов","","2026-09-04","passed","2026-09-04","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","795","API. Авторизованный пользователь не может пополнить счет невалидной суммой Сумма пополнения больше максимальной","","2026-09-04","passed","2026-09-04","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","391","API. Администратор может удалить пользователя Удаление пользователя с правами администратора","","2026-09-04","passed","2026-09-04","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCanDeleteUserTest"
"","12","API. Неавторизованный пользователь не может получить список своих счетов","","2026-09-04","passed","2026-09-04","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","unauthorizedUserCannotGetOwnAccountsTest"
"","1840","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода больше максимальной","","2026-09-04","passed","2026-09-04","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","1445","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода больше максимальной","","2026-09-04","passed","2026-09-04","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","580","API. Авторизованный пользователь может создать счет","","2026-09-04","passed","2026-09-04","","API. Создание счета","api.iteration_1.CreateAccountTest","authorizedUserCanCreateAccountTest"
"","2673","UI. Пользователь может авторизоваться с валидными данными","","2026-09-04","passed","2026-09-04","","UI. Авторизация пользователя","ui.iteration_1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","2054","API. Авторизованный пользователь не может выполнить перевод при ошибке соединения с фрод-сервисом (connection error)","","2026-09-04","passed","2026-09-04","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceConnectionErrorTest"
"","1420","API. Авторизованный пользователь не может выполнить перевод при ошибке фрод-сервиса (HTTP 400)","","2026-09-04","passed","2026-09-04","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceReturnsBadRequestTest"
"","204","API. Администратор не может создать пользователя с невалидными данными Username короче 3 символов","","2026-09-04","passed","2026-09-04","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","97","API. Администратор не может получить список счетов","","2026-09-04","passed","2026-09-04","","API. Получение списка счетов пользователя","api.iteration_3.GetCustomerAccountsTest","adminCannotGetAccountsTest"
"","3216","UI. Пользователь не может пополнить свой счет без указания суммы","","2026-09-04","passed","2026-09-04","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAmountTest"
"","3649","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-09-04","passed","2026-09-04","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","16","API. Пользователь не может авторизоваться с невалидными данными Пустой password","","2026-09-04","passed","2026-09-04","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","15","API. Пользователь не может авторизоваться с невалидными данными Password без цифры","","2026-09-04","passed","2026-09-04","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","14","API. Пользователь не может авторизоваться с невалидными данными Username содержит спецсимвол","","2026-09-04","passed","2026-09-04","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","3935","UI. Пользователь не может изменить имя в профиле на невалидное","","2026-09-04","passed","2026-09-04","","UI. Обновление профиля пользователя","ui.iteration_2.UpdateCustomerProfileTest","userCannotSetInvalidNameInProfileTest"
"","1425","API. Авторизованный пользователь не может выполнить перевод при необходимости ручной проверки транзакции (requiresManualReview=true)","","2026-09-04","passed","2026-09-04","","API. Перевод с проверкой на мошенничество","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenManualReviewIsRequiredByFlagTest"
"","202","API. Администратор не может создать пользователя с невалидными данными Password без спецсимвола","","2026-09-04","passed","2026-09-04","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","9400","UI. Пользователь не может выполнить перевод без указания счета отправителя","","2026-09-04","passed","2026-09-04","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutSenderAccountNumberTest"
