"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","632","API. Авторизованный пользователь может пополнить счет Сумма пополнения: 5000.0","","2026-08-28","passed","2026-08-28","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","1086","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами Сумма перевода меньше минимальной","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","1297","API. Неавторизованный пользователь не может перевести валидную сумму на счет другого пользователя","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","unauthorizedUserCannotTransferFundsTest"
"","467","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с пробелом на конце","","2026-08-28","passed","2026-08-28","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","1402","API. Авторизованный пользователь не может перевести валидную сумму с несуществующего счета на счет другого пользователя","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsFromNonExistingAccountTest"
"","182","API. Администратор не может создать пользователя с невалидными данными Password без спецсимвола","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1693","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя Сумма перевода: 0.02","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","532","API. Авторизованный пользователь не может изменить имя в профиле на невалидное Имя с пробелом в начале","","2026-08-28","passed","2026-08-28","","API. Обновление профиля пользователя","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidNameTest"
"","182","API. Администратор не может создать пользователя с невалидными данными Username длиннее 15 символов","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1817","API. Авторизованный пользователь не может выполнить перевод при ошибке соединения с фрод-сервисом (connection error)","","2026-08-28","passed","2026-08-28","","api.iteration_3.TransferFundsWithFraudCheckTest","api.iteration_3.TransferFundsWithFraudCheckTest","authorizedUserCannotTransferFundsWhenFraudServiceConnectionErrorTest"
"","620","API. Авторизованный пользователь не может пополнить счет невалидной суммой Сумма пополнения больше максимальной","","2026-08-28","passed","2026-08-28","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","19","API. Пользователь не может авторизоваться с невалидными данными Password без цифры","","2026-08-28","passed","2026-08-28","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","650","API. Авторизованный пользователь не может пополнить счет невалидной суммой Сумма пополнения равна 0","","2026-08-28","passed","2026-08-28","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","3225","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-08-28","passed","2026-08-28","","UI. Пополнение счета","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","840","API. Авторизованный пользователь не может перевести валидную сумму на несуществующий счет","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsIntoNonExistingAccountTest"
"","378","API. Авторизованный пользователь не может пополнить несуществующий счет","","2026-08-28","passed","2026-08-28","","API. Пополнение счета","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositNonExistingAccountTest"
"","338","API. Администратор может создать пользователя с валидными данными Создание пользователя с правами администратора","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","1379","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода равна 0","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","181","API. Администратор не может создать пользователя с невалидными данными Пустой password","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6040","UI. Администратор может создать пользователя","","2026-08-28","passed","2026-08-28","","UI. Создание пользователя","ui.iteration_1.CreateUserTest","adminCanCreateUserTest"
"","365","API. Неавторизованный пользователь не может удалить пользователя","","2026-08-28","passed","2026-08-28","","API. Удаление пользователя","api.iteration_3.DeleteUserTest","adminCannotDeleteUserWithoutAuthTest"
"","16","API. Пользователь не может авторизоваться с невалидными данными Password без заглавной буквы","","2026-08-28","passed","2026-08-28","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","82","API. Администратор может авторизоваться","","2026-08-28","passed","2026-08-28","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","3889","UI. Пользователь не может выполнить перевод без подтверждения данных","","2026-08-28","passed","2026-08-28","","UI. Перевод","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutConfirmTest"
"","1393","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя Сумма перевода меньше минимальной","","2026-08-28","passed","2026-08-28","","API. Перевод","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","374","API. Администратор может создать пользователя с валидными данными Создание пользователя без прав администратора","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","16","API. Пользователь не может авторизоваться с невалидными данными Username содержит пробел","","2026-08-28","passed","2026-08-28","","API. Авторизация пользователя","api.iteration_1.LoginUserTest","userCannotGenerateAuthTokenWithInvalidDataTest"
"","179","API. Администратор не может создать пользователя с невалидными данными Username короче 3 символов","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1213","API. Авторизованный пользователь не может получить список транзакций по счету другого пользователя","","2026-08-28","passed","2026-08-28","","API. Получение списка транзакций по счету","api.iteration_3.GetAccountTransactionsTest","authorizedUserCannotGetAnotherUserAccountTransactionsTest"
"","183","API. Администратор не может создать пользователя с невалидными данными Username содержит спецсимвол","","2026-08-28","passed","2026-08-28","","API. Создание пользователя","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","401","API. Авторизованный пользователь может получить свой профиль","","2026-08-28","passed","2026-08-28","","API. Получение профиля пользователя","api.iteration_3.GetCustomerProfileTest","authorizedUserCanGetProfileTest"
